"","mean.ino1","mean.ino10","mean.ino11","mean.ino2","mean.ino3","mean.ino4","mean.ino5","mean.ino6","mean.ino7","mean.ino8","mean.ino9","support.ino1","support.ino10","support.ino11","support.ino2","support.ino3","support.ino4","support.ino5","support.ino6","support.ino7","support.ino8","support.ino9","mean.ino1.1","mean.ino10.1","mean.ino11.1","mean.ino2.1","mean.ino3.1","mean.ino4.1","mean.ino5.1","mean.ino6.1","mean.ino7.1","mean.ino8.1","mean.ino9.1","support.ino1.1","support.ino10.1","support.ino11.1","support.ino2.1","support.ino3.1","support.ino4.1","support.ino5.1","support.ino6.1","support.ino7.1","support.ino8.1","support.ino9.1"
"ino1",1,0.0335681964233093,0.00417352315170787,0.0312014618999046,-0.00713429862125964,0.00180633008926222,-0.0276852652190437,0.0814014637958213,-0.0660697887306663,-0.0131369131626064,-0.0216093123080676,1,0.512222222222222,0.502222222222222,0.523333333333333,0.497777777777778,0.495555555555556,0.486666666666667,0.54,0.463333333333333,0.493333333333333,0.49,1,0.0280598636148018,0.0613025522742667,0.00616750943572734,-0.00993839389446939,0.0410544519985436,-0.0411587361768328,-0.0543575092568433,-0.0135219384755232,0.0454268616014081,0.054929320158103,1,0.516666666666667,0.541111111111111,0.502222222222222,0.492222222222222,0.525555555555556,0.473333333333333,0.476666666666667,0.491111111111111,0.526666666666667,0.533333333333333
"ino10",0.0335681964233093,1,-0.0148027710158546,-0.013128820848039,-0.033102069326484,0.00270985125441511,0.0484672429571744,0.0143709584229003,-0.0733187988440737,-0.0116267835005199,0.0527222284619546,0.512222222222222,1,0.488888888888889,0.495555555555556,0.48,0.497777777777778,0.525555555555556,0.508888888888889,0.458888888888889,0.486666666666667,0.528888888888889,0.0280598636148018,1,0.0096313095171317,0.0340904847381815,0.00860801761797166,-0.0208768817756125,-0.0194348707536561,-0.0213568811079579,-0.0609635466611822,0.0278394733683245,-0.00167459396398612,0.516666666666667,1,0.501111111111111,0.517777777777778,0.512222222222222,0.484444444444444,0.484444444444444,0.485555555555556,0.47,0.518888888888889,0.502222222222222
"ino11",0.00417352315170788,-0.0148027710158546,1,0.0518770793339967,-0.0197617604538918,-0.00984120619965384,-0.0302141982538089,0.0558651679737109,0.000546303201733158,0.00409456714683145,0.0172443763845899,0.502222222222222,0.488888888888889,1,0.526666666666667,0.492222222222222,0.496666666666667,0.486666666666667,0.527777777777778,0.497777777777778,0.505555555555556,0.511111111111111,0.0613025522742667,0.0096313095171317,1,-0.0122343376181115,0.0119683818188417,0.0391225808473621,-0.0168785878706771,-0.0147878395880899,-0.0378598386006969,0.0194797406441247,0.0112596496614845,0.541111111111111,0.501111111111111,1,0.5,0.507777777777778,0.515555555555556,0.485555555555556,0.488888888888889,0.481111111111111,0.516666666666667,0.513333333333333
"ino2",0.0312014618999046,-0.013128820848039,0.0518770793339967,1,-0.0155677302812234,0.020365415496926,0.0155239854163825,0.0224975771367508,-0.0435951502091338,-0.0301481481664767,-0.00913943169054793,0.523333333333333,0.495555555555556,0.526666666666667,1,0.488888888888889,0.512222222222222,0.505555555555556,0.504444444444444,0.481111111111111,0.491111111111111,0.494444444444444,0.00616750943572734,0.0340904847381815,-0.0122343376181115,1,0.0103222169006617,0.0026134883821794,0.0184965824619489,0.0212988359431824,0.0445403555016084,-0.0160636713268553,-0.00615527504492371,0.502222222222222,0.517777777777778,0.5,1,0.507777777777778,0.498888888888889,0.513333333333333,0.505555555555556,0.528888888888889,0.496666666666667,0.504444444444444
"ino3",-0.00713429862125964,-0.033102069326484,-0.0197617604538918,-0.0155677302812234,1,-0.0146823096050821,0.000831998694072173,0.0212300206902769,-0.0392824360552846,-0.0496827068959574,0.00995528937470159,0.497777777777778,0.48,0.492222222222222,0.488888888888889,1,0.491111111111111,0.505555555555556,0.507777777777778,0.474444444444444,0.475555555555556,0.513333333333333,-0.00993839389446939,0.00860801761797167,0.0119683818188417,0.0103222169006617,1,-0.0111590261276641,0.0249789901057348,0.0304316783079411,0.0212695163622462,0.0122971423313396,-0.0231582368167055,0.492222222222222,0.512222222222222,0.507777777777778,0.507777777777778,1,0.49,0.506666666666667,0.506666666666667,0.505555555555556,0.508888888888889,0.485555555555556
"ino4",0.00180633008926222,0.00270985125441511,-0.00984120619965384,0.020365415496926,-0.0146823096050821,1,0.0409637110560709,0.000310503541061112,-0.0270924021335169,-0.0507078125046331,0.0288048706339347,0.495555555555556,0.497777777777778,0.496666666666667,0.512222222222222,0.491111111111111,1,0.532222222222222,0.495555555555556,0.485555555555556,0.468888888888889,0.512222222222222,0.0410544519985437,-0.0208768817756125,0.0391225808473621,0.0026134883821794,-0.0111590261276641,1,-0.0468819913079107,-0.00246166984847523,-0.0733529371079324,0.0196727821125822,0.00469030778511155,0.525555555555556,0.484444444444444,0.515555555555556,0.498888888888889,0.49,1,0.468888888888889,0.501111111111111,0.455555555555556,0.512222222222222,0.506666666666667
"ino5",-0.0276852652190437,0.0484672429571744,-0.0302141982538089,0.0155239854163825,0.000831998694072176,0.0409637110560709,1,-0.0218896684384608,-0.0156964210903122,0.00281567876309929,-0.0207017045419133,0.486666666666667,0.525555555555556,0.486666666666667,0.505555555555556,0.505555555555556,0.532222222222222,1,0.488888888888889,0.491111111111111,0.507777777777778,0.486666666666667,-0.0411587361768328,-0.0194348707536561,-0.0168785878706771,0.0184965824619489,0.0249789901057348,-0.0468819913079107,1,0.0228573666967262,0.00599102965153705,-0.0156112381486694,-0.0310015581167141,0.473333333333333,0.484444444444444,0.485555555555556,0.513333333333333,0.506666666666667,0.468888888888889,1,0.52,0.502222222222222,0.491111111111111,0.484444444444444
"ino6",0.0814014637958213,0.0143709584229003,0.0558651679737109,0.0224975771367508,0.0212300206902769,0.000310503541061112,-0.0218896684384608,1,-0.0667119103396821,-0.0350075421408825,0.00337584025903874,0.54,0.508888888888889,0.527777777777778,0.504444444444444,0.507777777777778,0.495555555555556,0.488888888888889,1,0.466666666666667,0.473333333333333,0.501111111111111,-0.0543575092568433,-0.0213568811079579,-0.0147878395880899,0.0212988359431824,0.0304316783079411,-0.00246166984847523,0.0228573666967262,1,-0.00344808359607318,0.0412666498085018,0.00952772414096413,0.476666666666667,0.485555555555556,0.488888888888889,0.505555555555556,0.506666666666667,0.501111111111111,0.52,1,0.495555555555556,0.517777777777778,0.504444444444444
"ino7",-0.0660697887306663,-0.0733187988440737,0.000546303201733154,-0.0435951502091338,-0.0392824360552846,-0.0270924021335169,-0.0156964210903122,-0.0667119103396821,1,0.0454233801559826,-0.0491716242966093,0.463333333333333,0.458888888888889,0.497777777777778,0.481111111111111,0.474444444444444,0.485555555555556,0.491111111111111,0.466666666666667,1,0.53,0.473333333333333,-0.0135219384755232,-0.0609635466611822,-0.0378598386006969,0.0445403555016084,0.0212695163622462,-0.0733529371079324,0.00599102965153705,-0.00344808359607318,1,-0.0540032751985623,-0.0414608394391616,0.491111111111111,0.47,0.481111111111111,0.528888888888889,0.505555555555556,0.455555555555556,0.502222222222222,0.495555555555556,1,0.472222222222222,0.48
"ino8",-0.0131369131626064,-0.0116267835005199,0.00409456714683145,-0.0301481481664767,-0.0496827068959574,-0.0507078125046331,0.00281567876309929,-0.0350075421408825,0.0454233801559826,1,-0.03668260294559,0.493333333333333,0.486666666666667,0.505555555555556,0.491111111111111,0.475555555555556,0.468888888888889,0.507777777777778,0.473333333333333,0.53,1,0.478888888888889,0.0454268616014081,0.0278394733683245,0.0194797406441247,-0.0160636713268553,0.0122971423313396,0.0196727821125822,-0.0156112381486694,0.0412666498085018,-0.0540032751985623,1,-0.00765840016113323,0.526666666666667,0.518888888888889,0.516666666666667,0.496666666666667,0.508888888888889,0.512222222222222,0.491111111111111,0.517777777777778,0.472222222222222,1,0.495555555555556
"ino9",-0.0216093123080676,0.0527222284619546,0.0172443763845899,-0.00913943169054793,0.00995528937470159,0.0288048706339347,-0.0207017045419133,0.00337584025903874,-0.0491716242966093,-0.03668260294559,1,0.49,0.528888888888889,0.511111111111111,0.494444444444444,0.513333333333333,0.512222222222222,0.486666666666667,0.501111111111111,0.473333333333333,0.478888888888889,1,0.054929320158103,-0.00167459396398612,0.0112596496614845,-0.00615527504492372,-0.0231582368167055,0.00469030778511155,-0.0310015581167141,0.00952772414096413,-0.0414608394391616,-0.00765840016113324,1,0.533333333333333,0.502222222222222,0.513333333333333,0.504444444444444,0.485555555555556,0.506666666666667,0.484444444444444,0.504444444444444,0.48,0.495555555555556,1
