"","mean.seb1","mean.seb10","mean.seb11","mean.seb12","mean.seb13","mean.seb14","mean.seb15","mean.seb16","mean.seb17","mean.seb18","mean.seb19","mean.seb2","mean.seb20","mean.seb21","mean.seb22","mean.seb23","mean.seb24","mean.seb25","mean.seb26","mean.seb27","mean.seb28","mean.seb29","mean.seb3","mean.seb30","mean.seb31","mean.seb32","mean.seb4","mean.seb5","mean.seb6","mean.seb7","mean.seb8","mean.seb9","support.seb1","support.seb10","support.seb11","support.seb12","support.seb13","support.seb14","support.seb15","support.seb16","support.seb17","support.seb18","support.seb19","support.seb2","support.seb20","support.seb21","support.seb22","support.seb23","support.seb24","support.seb25","support.seb26","support.seb27","support.seb28","support.seb29","support.seb3","support.seb30","support.seb31","support.seb32","support.seb4","support.seb5","support.seb6","support.seb7","support.seb8","support.seb9","mean.seb1.1","mean.seb10.1","mean.seb11.1","mean.seb12.1","mean.seb13.1","mean.seb14.1","mean.seb15.1","mean.seb16.1","mean.seb17.1","mean.seb18.1","mean.seb19.1","mean.seb2.1","mean.seb20.1","mean.seb21.1","mean.seb22.1","mean.seb23.1","mean.seb24.1","mean.seb25.1","mean.seb26.1","mean.seb27.1","mean.seb28.1","mean.seb29.1","mean.seb3.1","mean.seb30.1","mean.seb31.1","mean.seb32.1","mean.seb4.1","mean.seb5.1","mean.seb6.1","mean.seb7.1","mean.seb8.1","mean.seb9.1","support.seb1.1","support.seb10.1","support.seb11.1","support.seb12.1","support.seb13.1","support.seb14.1","support.seb15.1","support.seb16.1","support.seb17.1","support.seb18.1","support.seb19.1","support.seb2.1","support.seb20.1","support.seb21.1","support.seb22.1","support.seb23.1","support.seb24.1","support.seb25.1","support.seb26.1","support.seb27.1","support.seb28.1","support.seb29.1","support.seb3.1","support.seb30.1","support.seb31.1","support.seb32.1","support.seb4.1","support.seb5.1","support.seb6.1","support.seb7.1","support.seb8.1","support.seb9.1"
"seb1",1,0.0345410042170075,0.00757674438043289,-0.335009056779074,0.0495723662036661,-0.0310359349108527,-0.0152361302305107,-0.000924864421033013,-0.0201731770790761,0.0256438342001274,0.00818248200071106,0.0131363592504653,-0.00275001089664926,-0.0345550034017698,-0.00403097198019643,0.0471795793744114,0.0389981277118423,0.135312176811052,0.173967007342572,0.193053089455458,0.154396427874315,0.0139345250775615,0.00730024986868246,-0.124044030775856,-0.0372447240520052,-0.049005326981844,-0.0175968063193342,0.0216607024319238,-0.0567833604238682,0.0343688598060608,-0.0239516792475659,0.0835844922578103,1,0.521333333333333,0.508,0.321333333333333,0.528,0.477333333333333,0.497333333333333,0.502666666666667,0.489333333333333,0.512,0.502666666666667,0.506666666666667,0.5,0.478666666666667,0.506666666666667,0.526666666666667,0.530666666666667,0.574666666666667,0.585333333333333,0.608,0.590666666666667,0.505333333333333,0.493333333333333,0.428,0.482666666666667,0.468,0.486666666666667,0.505333333333333,0.464,0.516,0.493333333333333,0.546666666666667,1,-0.042593591846398,-0.0607028753612546,-0.0648736795210693,-0.0696011225666428,0.0107414340519444,0.00982520352728,-0.0311822337034855,-0.00518235573876996,0.00227049871712283,-0.0399911688090861,-0.00948715260173826,-0.0257011081035681,-0.00416553275607925,-0.0125939119260007,-0.0115827181969161,0.0062699980634851,-0.013814847843588,0.0521817159044244,0.0411404263636042,0.0570024682072877,-0.021421681032984,-0.0519567890247099,0.082946034270441,0.0268315406496398,0.0365158682431596,0.0121506090460674,-0.039251052715133,-0.0266105557365311,-0.00160343688682002,-0.0346202161847135,0.0148589939016785,1,0.473333333333333,0.468,0.469333333333333,0.464,0.506666666666667,0.498666666666667,0.481333333333333,0.494666666666667,0.508,0.477333333333333,0.497333333333333,0.482666666666667,0.506666666666667,0.486666666666667,0.488,0.497333333333333,0.485333333333333,0.525333333333333,0.534666666666667,0.529333333333333,0.488,0.466666666666667,0.56,0.506666666666667,0.516,0.512,0.474666666666667,0.492,0.493333333333333,0.484,0.505333333333333
"seb10",0.0345410042170075,1,0.0347134624335224,-0.0212194764400858,-0.0170408486133916,-0.0120320830789447,0.0206122548496329,0.00979465699640092,0.00809500134343175,0.0153769917115791,-0.0172493565029085,-0.000162301163904763,-0.0229268346230621,-0.0404258942940276,-0.0248228492870383,-0.00278709754363795,0.028699927622557,0.000701607591886056,-0.0444206456577584,-0.00620530482912965,0.0326899845419961,0.000247243457202374,0.0149060169287439,-0.0123075660137342,-0.0214916435705639,0.019508170963224,-0.0259784675433014,-0.00136819283715392,0.0193688036533574,0.0175115585225997,0.0272472525143443,0.0274142619891928,0.521333333333333,1,0.529333333333333,0.490666666666667,0.494666666666667,0.493333333333333,0.504,0.501333333333333,0.497333333333333,0.517333333333333,0.482666666666667,0.509333333333333,0.496,0.482666666666667,0.477333333333333,0.508,0.514666666666667,0.5,0.478666666666667,0.496,0.518666666666667,0.496,0.505333333333333,0.492,0.498666666666667,0.516,0.486666666666667,0.493333333333333,0.508,0.505333333333333,0.52,0.517333333333333,-0.042593591846398,1,0.00954941230902456,0.0612920452397838,0.0569392021245645,-0.0269610848760407,-0.0250847374120681,0.0537810695430699,0.0320226931069421,-0.0370986450359163,-0.00731540356343028,0.0240703741645508,0.012360924496619,0.0401972099225821,0.0240712618968038,0.0384930430264347,0.0456961070975779,-0.0141039688775165,-0.0126412110011913,-0.0852519317008691,-0.0138820214576378,-0.0327071401483,-0.0340668867813874,0.0431686329218076,-0.0349690074548434,0.0299815884801544,0.00504913931578737,-0.0401951898875684,-0.00353456149347216,-0.020678173640823,0.0135349942766648,0.00364100518948122,0.473333333333333,1,0.5,0.526666666666667,0.536,0.490666666666667,0.481333333333333,0.530666666666667,0.521333333333333,0.466666666666667,0.485333333333333,0.509333333333333,0.502666666666667,0.522666666666667,0.516,0.517333333333333,0.521333333333333,0.489333333333333,0.485333333333333,0.462666666666667,0.498666666666667,0.485333333333333,0.484,0.524,0.476,0.509333333333333,0.496,0.469333333333333,0.496,0.485333333333333,0.512,0.501333333333333
"seb11",0.00757674438043289,0.0347134624335224,1,-0.0431850555392458,0.0500360155562685,0.0175722857636612,0.0126477833680397,0.000328749056753896,-0.0467686925473981,-0.0105819435209135,0.0255549442378725,-0.00943882374988242,-0.0144898241490828,0.0057044704856805,-0.0203486490183268,0.0345485073983992,-0.014221009699248,-0.00362217813454347,0.0157584142297245,0.0412871352285732,0.0234688847564716,-0.0536206271987436,0.0530068663228231,0.012069565003992,-0.0345874203838341,0.0292953690055114,-0.0105777110194906,-0.00571915750146885,-0.0113930155712337,0.032019451132194,-0.0036700820868685,0.0285759567603961,0.508,0.529333333333333,1,0.481333333333333,0.538666666666667,0.508,0.504,0.494666666666667,0.470666666666667,0.501333333333333,0.508,0.485333333333333,0.494666666666667,0.505333333333333,0.484,0.510666666666667,0.492,0.496,0.510666666666667,0.52,0.509333333333333,0.469333333333333,0.525333333333333,0.501333333333333,0.477333333333333,0.509333333333333,0.497333333333333,0.5,0.496,0.52,0.498666666666667,0.514666666666667,-0.0607028753612546,0.00954941230902456,1,0.0491264031272363,-0.0247355898397447,-0.00826442113543563,0.00112719324847985,-0.0069396438063042,-0.030525307053963,-0.0149001559475053,-0.0098843082262929,-0.0086839900537988,-0.0247983092289261,-0.0464413871629331,0.0355098778868949,-0.00527027347085849,-0.0294408111249296,0.0237702963637439,-0.0572555835428357,-0.0542099865100517,-0.0599691899476708,0.00414036695619136,0.045078618545187,-0.0206242847491176,0.0190214339046498,0.0374893183005498,0.0341417053732339,-0.0192166149733717,-0.0103582825881668,-0.025344339804129,0.0100735575269966,-0.00817947496479708,0.468,0.5,1,0.521333333333333,0.490666666666667,0.497333333333333,0.501333333333333,0.497333333333333,0.488,0.482666666666667,0.496,0.497333333333333,0.482666666666667,0.473333333333333,0.514666666666667,0.502666666666667,0.489333333333333,0.509333333333333,0.478666666666667,0.465333333333333,0.465333333333333,0.505333333333333,0.518666666666667,0.481333333333333,0.518666666666667,0.518666666666667,0.521333333333333,0.488,0.488,0.492,0.497333333333333,0.498666666666667
"seb12",-0.335009056779074,-0.0212194764400858,-0.0431850555392458,1,-0.0403791221934064,-0.0395304924478946,-0.0520966553797289,-0.0148290634851563,0.0230157890808892,-0.0477031758702918,-0.0510121078178791,-0.00846309383250574,-0.0373974961937824,0.0274764642647888,-0.0285556670125022,-0.0454676996335536,-0.0722514889936156,-0.279125213128611,-0.300553781547,-0.264555911129374,-0.23299142091526,-0.0161786511970514,-0.0355696303697219,0.131839550739655,0.124003822165142,0.0524175528193733,-0.0281770381278059,-0.0566474356527319,-0.0122670818824013,-0.0147288250802771,-0.0424115180767481,-0.0561092569172088,0.321333333333333,0.490666666666667,0.481333333333333,1,0.481333333333333,0.482666666666667,0.468,0.494666666666667,0.517333333333333,0.469333333333333,0.469333333333333,0.489333333333333,0.484,0.512,0.486666666666667,0.478666666666667,0.46,0.358666666666667,0.349333333333333,0.364,0.385333333333333,0.492,0.490666666666667,0.564,0.566666666666667,0.52,0.482666666666667,0.470666666666667,0.497333333333333,0.494666666666667,0.470666666666667,0.472,-0.0648736795210693,0.0612920452397837,0.0491264031272363,1,0.0637607862918052,0.0210489735033318,0.0336642863440213,-0.0294267861240247,-0.0158449619263505,0.0104715176663319,0.0443370031930139,0.0679913702288903,0.0175111573190381,0.0403894611170511,-0.000218102961565819,0.0300270160853804,0.0412896935397721,-0.0321263826122121,-0.0602214770579228,-0.154351449769401,-0.10945791059035,-0.0742690646227668,0.00637421404903536,-0.142743436773847,-0.0182019663818938,-0.11435225540379,-0.00320524347724261,-0.013086436270142,0.000352694434200391,0.044505238540206,-0.00225854173423369,0.00917462812418126,0.469333333333333,0.526666666666667,0.521333333333333,1,0.534666666666667,0.522666666666667,0.512,0.481333333333333,0.489333333333333,0.498666666666667,0.517333333333333,0.538666666666667,0.509333333333333,0.524,0.506666666666667,0.512,0.522666666666667,0.485333333333333,0.468,0.413333333333333,0.442666666666667,0.453333333333333,0.505333333333333,0.42,0.492,0.446666666666667,0.506666666666667,0.494666666666667,0.505333333333333,0.528,0.492,0.509333333333333
"seb13",0.0495723662036661,-0.0170408486133916,0.0500360155562685,-0.0403791221934064,1,-0.0248879203560156,0.0258224374771827,0.0019526656258632,0.00903447330139396,-0.0100885439729457,-3.45883776653352e-05,0.0237717143313775,0.00702060063087393,-0.0249617627602948,-0.0022663399547236,-0.0168221614206681,-0.084767429315695,-0.00109169847883636,0.0384907699532795,-0.0206640530993727,-0.00186568763193023,-0.012284528075517,0.00405514133087367,-0.00824326783232179,-0.0530603474100151,-0.0385370701604055,0.00747821889523902,-0.0155851518883672,0.0140999307464343,0.0313534508539579,-0.00414413060450537,0.0173740467247663,0.528,0.494666666666667,0.538666666666667,0.481333333333333,1,0.492,0.514666666666667,0.505333333333333,0.510666666666667,0.506666666666667,0.498666666666667,0.516,0.504,0.492,0.494666666666667,0.501333333333333,0.448,0.492,0.52,0.488,0.497333333333333,0.498666666666667,0.486666666666667,0.494666666666667,0.477333333333333,0.478666666666667,0.505333333333333,0.482666666666667,0.512,0.514666666666667,0.5,0.508,-0.0696011225666428,0.0569392021245645,-0.0247355898397447,0.0637607862918052,1,0.00805122432109363,0.0114078373927916,0.0445520450569913,0.011213124007694,0.00428579962066828,-0.0093654615306226,0.0730676451439376,-0.0710566827934828,0.00783033433599217,0.015553072671661,-0.040631294639335,-0.0184077313548827,-0.0465246922049031,0.0396571981578564,0.0230711472555019,0.00666938875969015,0.0285432962561203,-0.0266591754579013,-0.0180520036656943,0.0229407942897473,0.0240081544504906,-0.0384301288681659,-0.0439892200194839,-0.00325852197958274,-0.0302482571841563,0.00754024091259396,0.0190998810932513,0.464,0.536,0.490666666666667,0.534666666666667,1,0.502666666666667,0.502666666666667,0.518666666666667,0.501333333333333,0.496,0.496,0.534666666666667,0.461333333333333,0.510666666666667,0.508,0.470666666666667,0.485333333333333,0.462666666666667,0.516,0.509333333333333,0.506666666666667,0.510666666666667,0.485333333333333,0.492,0.514666666666667,0.521333333333333,0.468,0.476,0.492,0.482666666666667,0.502666666666667,0.504
"seb14",-0.0310359349108528,-0.0120320830789447,0.0175722857636612,-0.0395304924478946,-0.0248879203560156,1,-0.0014418785462091,0.0574702918591771,-0.046100797740868,0.0243700449491305,-0.0204351018865889,0.0216335018237271,0.0443763592928293,0.0360615387614583,-0.00621165046341391,-0.0346174564290874,-0.0133236935381482,0.0182604554440038,0.0155762123916752,0.00532765225134807,0.0565272246407457,0.0223516226836902,0.012536964403069,-0.0324912877925385,-0.0274552521632008,0.0510991775946678,-0.0136476460540624,-0.026790634024385,0.0443489419604533,0.0547498834562163,0.00460047353871077,-0.021350571624585,0.477333333333333,0.493333333333333,0.508,0.482666666666667,0.492,1,0.490666666666667,0.538666666666667,0.477333333333333,0.514666666666667,0.496,0.501333333333333,0.530666666666667,0.52,0.497333333333333,0.474666666666667,0.488,0.504,0.513333333333333,0.494666666666667,0.526666666666667,0.509333333333333,0.502666666666667,0.481333333333333,0.48,0.524,0.496,0.48,0.510666666666667,0.532,0.509333333333333,0.482666666666667,0.0107414340519444,-0.0269610848760407,-0.00826442113543563,0.0210489735033318,0.00805122432109363,1,0.00381638250026897,0.0171880021303326,0.00919289491804403,-0.0107711691437791,-0.0289529959239927,-0.0245263828187135,0.0237211315820622,-0.0299288891184453,-0.0505112092075791,-0.00634475880433081,0.0434796862744824,0.00719800273271493,-0.0139647784429832,0.00180846308041706,0.00894609769059129,-0.00547393979128049,-0.0123845525810544,-0.0300988859430578,-0.0357525538196569,0.00721468278696881,-0.0303066583783906,-0.00212341884479826,-0.0017693688254866,-0.0160366244566063,-0.0448308690666841,-0.0362356537782044,0.506666666666667,0.490666666666667,0.497333333333333,0.522666666666667,0.502666666666667,1,0.505333333333333,0.512,0.498666666666667,0.48,0.488,0.485333333333333,0.52,0.477333333333333,0.469333333333333,0.490666666666667,0.524,0.506666666666667,0.494666666666667,0.506666666666667,0.502666666666667,0.492,0.498666666666667,0.481333333333333,0.484,0.509333333333333,0.48,0.492,0.496,0.488,0.477333333333333,0.474666666666667
"seb15",-0.0152361302305107,0.0206122548496329,0.0126477833680397,-0.0520966553797289,0.0258224374771827,-0.00144187854620909,1,0.0210649708597619,0.0137491250729971,-0.0560547186659939,0.0280920538245504,0.0189765371657581,0.00812039244412714,0.0288021369078231,0.00457457770152174,0.0788178680114159,0.0337943078596031,0.0349923537186751,-0.00614950264473077,0.0184716476698235,0.0308231574735546,-0.0110258897776903,0.0353280165077951,-0.0212660706239588,-0.0491887446203348,-0.0418184948044658,0.0411392613659139,-0.0363943409677328,0.000176358049328365,-0.0570190793411608,-0.00195963437743939,0.00151920240299243,0.497333333333333,0.504,0.504,0.468,0.514666666666667,0.490666666666667,1,0.516,0.501333333333333,0.465333333333333,0.52,0.5,0.510666666666667,0.514666666666667,0.510666666666667,0.546666666666667,0.522666666666667,0.525333333333333,0.493333333333333,0.508,0.510666666666667,0.496,0.522666666666667,0.485333333333333,0.476,0.476,0.52,0.478666666666667,0.497333333333333,0.457333333333333,0.498666666666667,0.504,0.00982520352728,-0.0250847374120681,0.00112719324847985,0.0336642863440213,0.0114078373927916,0.00381638250026897,1,0.028439989165336,-0.0138474948515931,-0.00731540858019589,-0.0291708157438995,-0.00832309974083695,0.0108094778565642,0.0847112686017719,-3.98843516661734e-05,-0.0171671662179149,0.00723079288884924,0.0280830281377817,0.0114526761293454,-0.0394079428776488,0.0393790143087817,0.0464475069538547,0.002418147002942,-0.0125204477354007,-0.0141207553529876,-0.0430893916094375,-0.027097150760646,0.0299740846315578,-0.0427817868516377,0.00446017420498371,-0.00110790059863368,-0.00453140529065163,0.498666666666667,0.481333333333333,0.501333333333333,0.512,0.502666666666667,0.505333333333333,1,0.512,0.493333333333333,0.492,0.477333333333333,0.492,0.510666666666667,0.545333333333333,0.498666666666667,0.482666666666667,0.504,0.517333333333333,0.506666666666667,0.481333333333333,0.524,0.532,0.501333333333333,0.492,0.488,0.472,0.48,0.516,0.476,0.490666666666667,0.493333333333333,0.501333333333333
"seb16",-0.000924864421033013,0.00979465699640093,0.000328749056753895,-0.0148290634851563,0.0019526656258632,0.0574702918591771,0.0210649708597619,1,0.0385756257608165,0.0250640567110996,0.00311493756406179,0.0436025807947891,-0.00447039736528464,0.0633198509115051,0.0268879167130381,-0.0071105815011338,0.0800943009176391,0.00195320654298361,0.0241720195037223,0.0377769616525492,-0.015643356066288,0.0337109495660992,0.0497183890283338,0.0312930675524564,0.012338746459704,0.0305109132495812,0.00977887675943679,0.00715728905775463,0.0369783381999204,0.0901958076139098,-0.0386529969752519,-0.00748305691059004,0.502666666666667,0.501333333333333,0.494666666666667,0.494666666666667,0.505333333333333,0.538666666666667,0.516,1,0.508,0.512,0.509333333333333,0.518666666666667,0.488,0.522666666666667,0.513333333333333,0.492,0.545333333333333,0.5,0.513333333333333,0.522666666666667,0.492,0.524,0.526666666666667,0.517333333333333,0.505333333333333,0.514666666666667,0.505333333333333,0.504,0.530666666666667,0.542666666666667,0.478666666666667,0.494666666666667,-0.0311822337034855,0.0537810695430699,-0.0069396438063042,-0.0294267861240247,0.0445520450569913,0.0171880021303326,0.028439989165336,1,-0.0120462676660172,-0.0481839072747864,-0.0310678987077604,-0.0252421526647529,-0.0304236216628995,0.00372835026049981,-0.00657478964459693,0.00868571030921378,0.00673302581888455,-0.0458536202144967,-0.0076164951791576,-0.0147417747818121,-0.00683248000180636,0.0423576974638898,0.0330363754474497,0.000749614745689161,-0.0195409552346581,-0.0250352406528099,-0.0046744960781794,0.0151469958941408,-0.00676922186977865,0.0125476461280142,0.0111092507112416,0.0428413341993275,0.481333333333333,0.530666666666667,0.497333333333333,0.481333333333333,0.518666666666667,0.512,0.512,1,0.489333333333333,0.468,0.493333333333333,0.477333333333333,0.486666666666667,0.501333333333333,0.494666666666667,0.512,0.506666666666667,0.472,0.497333333333333,0.502666666666667,0.490666666666667,0.524,0.52,0.504,0.497333333333333,0.492,0.501333333333333,0.510666666666667,0.482666666666667,0.508,0.512,0.526666666666667
"seb17",-0.0201731770790761,0.00809500134343175,-0.0467686925473981,0.0230157890808892,0.00903447330139396,-0.046100797740868,0.0137491250729971,0.0385756257608165,1,0.00566364535557011,0.0567332096732887,-0.0249433047134942,-0.0430251138006605,0.0576546657674988,0.053938773797334,-0.000440405091099666,0.0324148611194425,0.0234734551919714,-0.00678123586580418,0.0224849045920851,-0.014682071682239,-0.0288461986038828,0.00508548182426079,-0.0357104768118008,-0.0101060810571652,0.0382587783760016,-0.0353073851890072,-0.0379578810509136,0.0293993840176609,-0.0397673720944718,-0.0325648628983899,0.0105989964208979,0.489333333333333,0.497333333333333,0.470666666666667,0.517333333333333,0.510666666666667,0.477333333333333,0.501333333333333,0.508,1,0.501333333333333,0.534666666666667,0.490666666666667,0.481333333333333,0.54,0.532,0.489333333333333,0.524,0.52,0.486666666666667,0.521333333333333,0.486666666666667,0.489333333333333,0.498666666666667,0.477333333333333,0.5,0.522666666666667,0.489333333333333,0.476,0.518666666666667,0.48,0.477333333333333,0.512,-0.00518235573876996,0.0320226931069421,-0.030525307053963,-0.0158449619263505,0.011213124007694,0.00919289491804403,-0.0138474948515931,-0.0120462676660172,1,-0.0316952720287622,0.0101198620676974,0.0144389095665364,-0.0512745374115667,-0.00182210517086966,-0.041733783731483,0.013261525791113,-0.0155309533348681,-0.0242892228784709,-0.00999548422642512,0.0139389386713538,0.050667015032655,0.0422347384650611,-0.0392222496764413,0.0178895424052814,0.0111261123588854,0.0377071426614215,0.0165357453520373,-0.01701887224375,-0.000280240451963162,0.00588559495406688,-0.00968515768831385,-0.0185289640444361,0.494666666666667,0.521333333333333,0.488,0.489333333333333,0.501333333333333,0.498666666666667,0.493333333333333,0.489333333333333,1,0.486666666666667,0.510666666666667,0.513333333333333,0.472,0.496,0.474666666666667,0.512,0.489333333333333,0.494666666666667,0.494666666666667,0.505333333333333,0.526666666666667,0.529333333333333,0.477333333333333,0.510666666666667,0.509333333333333,0.526666666666667,0.512,0.485333333333333,0.506666666666667,0.509333333333333,0.492,0.489333333333333
