"Orc_species","lat","lon","cer1","cer10","cer11","cer12","cer13","cer14","cer15","cer16","cer17","cer18","cer19","cer2","cer20","cer21","cer22","cer23","cer24","cer25","cer26","cer27","cer28","cer29","cer3","cer30","cer31","cer32","cer33","cer34","cer35","cer36","cer37","cer38","cer39","cer4","cer40","cer41","cer42","cer43","cer44","cer45","cer46","cer47","cer5","cer6","cer7","cer8","cer9","K","MaxPrec","MinTemp","N","P","pH","population"
"Ophrys bertolonii",42.941653,11.866438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.353302001953,216,0.600000023841858,2.78740763664246,17.8381576538086,6.58590364456177,"a"
"Cephalanthera damasonium",48.35,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.54345703125,168,0.5,1.81256413459778,46.6320838928223,7.41684341430664,"b"
"Dactylorhiza sambucina",39.317009,16.391507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.646591186523,333,-0.800000011920929,2.30819773674011,14.0161809921265,6.32806253433228,"v"
"Dactylorhiza baltica",59.319583,27.469556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161.493408203125,236,-10.6000003814697,1.84616839885712,28.548978805542,6.01593780517578,"w"
"Orchis tridentata",42.929914,11.875801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,268.630645751953,233,0.200000002980232,6.63986396789551,32.5128479003906,6.46593856811523,"aj"
"Orchis tridentata",43.507604,10.357247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,225.275375366211,305,3.40000009536743,2.06238698959351,15.2473573684692,7.41839790344238,"ak"
"Neottia ovata ",50.463889,14.610556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.584770202637,234,-3.29999995231628,1.29740810394287,21.7640266418457,5.31439018249512,"as"
"Neottia ovata ",48.829167,17.539444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.055892944336,268,-5.19999980926514,2.80908942222595,18.6065483093262,5.54621410369873,"bb"
"Neottia cordata",62.855,9.255833,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,371,-7.30000019073486,NA,NA,NA,"bf"
"Neottia ovata ",48.873056,17.569722,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.561050415039,265,-5,2.55178117752075,20.5879440307617,6.85369729995728,"bh"
"Neottia ovata ",50.757651,5.8295,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.276275634766,242,-0.5,3.93004465103149,40.8411407470703,6.03077411651611,"bi"
"Cephalanthera damasonium ",42.933709,11.866624,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.160522460938,216,0.600000023841858,2.02397656440735,10.2312965393066,6.6036171913147,"bl"
"Spiranthes spiralis",48.79631,-1.56969,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,250.111434936523,245.18603515625,3.44069838523865,2.42912483215332,54.518253326416,6.51126289367676,"bm"
"Spiranthes spiralis",43.93497,3.518619,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,235.691223144531,299,-0.200000002980232,4.55414247512817,21.7542018890381,7.41829633712769,"bn"
"Spiranthes spiralis",43.94129,3.525601,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.739898681641,289,0,2.06171250343323,19.3918380737305,7.42171907424927,"bo"
"Spiranthes spiralis",54.26178,-8.61585,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,198.04377746582,403,2.59999990463257,3.81638169288635,32.1057319641113,5.63617610931396,"bp"
"Spiranthes spiralis",37.89712,14.37238,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,250.441833496094,244,2.20000004768372,3.34031438827515,22.0431728363037,6.72998762130737,"bq"
"Spiranthes spiralis",39.06083,26.55076,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,329.485168457031,333,4,2.21955847740173,10.3599548339844,6.8990683555603,"br"
"Spiranthes spiralis",54.26209,-8.61475,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,193.868469238281,403,2.59999990463257,3.61595988273621,31.816951751709,5.69274282455444,"bs"
"Spiranthes spiralis",39.00381,26.32637,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,244.397994995117,322,3.5,1.9967668056488,10.2763843536377,6.80684947967529,"bt"
"Spiranthes spiralis",43.9177,3.50425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,226.889785766602,290,0,3.60155940055847,5.78083992004395,6.66418600082397,"bu"
"Spiranthes spiralis",38.9892,26.31498,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,226.531036376953,308,4.59999990463257,2.01459693908691,10.1963005065918,6.8271427154541,"bv"
"Spiranthes spiralis",40.82348,14.39381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.508178710938,345,2.90000009536743,1.33874714374542,8.77280712127686,6.31015682220459,"bw"
"Spiranthes spiralis",40.82173,14.39474,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,446.337585449219,345,2.90000009536743,2.58922505378723,3.85526943206787,6.46283149719238,"bx"
"Spiranthes spiralis",39.02483,26.32138,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,185.959777832031,321,3.40000009536743,2.00818753242493,9.49820327758789,7.20851993560791,"by"
"Spiranthes spiralis",37.81393,14.41387,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.998031616211,247,2.09999990463257,2.7140634059906,14.5967779159546,6.70916032791138,"bz"
"Spiranthes spiralis",43.92146,3.473415,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,262.247619628906,289,0,5.14064645767212,23.400671005249,7.52115964889526,"ca"
"Spiranthes spiralis",54.24538,-8.51075,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,194.575805664062,436,2.20000004768372,6.03941297531128,43.6399536132812,5.89318370819092,"cb"
"Spiranthes spiralis",40.50274,14.1054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"cc"
"Spiranthes spiralis",39.02045,26.32708,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,259.275299072266,323,3.29999995231628,1.81798660755157,7.77989816665649,7.03911924362183,"cd"
"Spiranthes spiralis",52.21013,-6.6253,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,192.937911987305,317,3.59999990463257,3.2036075592041,46.5089569091797,6.19409322738647,"ce"
"Spiranthes spiralis",54.32158,-8.57318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,195.622421264648,407,2.70000004768372,4.67704248428345,42.2366333007812,5.67901945114136,"cf"
"Spiranthes spiralis",39.09555,26.36539,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,299.647521972656,326,3.29999995231628,2.09459543228149,9.22160243988037,7.01736879348755,"cg"
"Spiranthes spiralis",43.94703,3.528905,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,230.08349609375,307,-0.300000011920929,1.88755297660828,8.48822498321533,6.94225025177002,"ch"
"Spiranthes spiralis",40.82338,14.39321,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,270.508178710938,345,2.90000009536743,1.33874714374542,8.77280712127686,6.31015682220459,"ci"
"Spiranthes spiralis",41.30991,14.02031,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,468.749389648438,325,1.89999997615814,2.1840512752533,11.2773408889771,6.17968320846558,"cj"
"Spiranthes spiralis",52.20016,-6.63079,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.206634521484,316,3.59999990463257,2.81813216209412,46.0159454345703,6.20408725738525,"ck"
"Spiranthes spiralis",40.8225,14.38295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,305.924865722656,373,3.70000004768372,3.17977261543274,4.07492303848267,7.02010536193848,"cl"
"Spiranthes spiralis",40.47195,23.18327,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,483.875244140625,153,0.800000011920929,1.2369636297226,12.8769645690918,7.56800508499146,"cm"
"Spiranthes spiralis",37.78321,14.57238,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,503.561431884766,242,2.5,1.92940139770508,16.2418766021729,7.23574876785278,"cn"
"Spiranthes spiralis",43.93131,3.510012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,242.799621582031,283,0.100000001490116,3.8838038444519,15.7681379318237,7.46476268768311,"co"
"Spiranthes spiralis",40.6353,22.97012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,256.008148193359,146,0.400000005960464,1.3111172914505,16.7674751281738,7.29584932327271,"cp"
"Spiranthes spiralis",40.82347,14.39286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,270.508178710938,345,2.90000009536743,1.33874714374542,8.77280712127686,6.31015682220459,"cq"
"Spiranthes spiralis",39.10837,26.37353,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,433.659729003906,318,3.90000009536743,1.43651032447815,7.23655939102173,6.90751981735229,"cr"
"Spiranthes spiralis",41.30194,14.00648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,439.664764404297,310,1.39999997615814,1.91090536117554,11.6671009063721,6.24679946899414,"cs"
"Spiranthes spiralis",40.5927,23.09452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,193.049423217773,151,-1.20000004768372,1.78323543071747,41.9120292663574,6.72871541976929,"ct"
"Spiranthes spiralis",40.8217,14.39482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.337585449219,345,2.90000009536743,2.58922505378723,3.85526943206787,6.46283149719238,"cu"
"Spiranthes spiralis",39.10386,26.39202,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,248.695617675781,319,3.90000009536743,2.38953971862793,8.96396350860596,6.68322277069092,"cv"
"Spiranthes spiralis",40.82687,14.40054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,400.253295898438,322,2.29999995231628,1.70782423019409,0.949458301067352,6.24247884750366,"cw"
